rank,name,url,g1_wins,jra_g1,overseas_g1,birth_year
1,アーモンドアイ,https://uma-channel.jp/umafile_1/2015/almond_eye.html,23,15,8,2015
2,テイエムオペラオー,https://uma-channel.jp/umafile_1/1996/t_m_opera_o.html,33,26,7,1996
3,キタサンブラック,https://uma-channel.jp/umafile_1/2012/kitasan_black.html,27,20,7,2012
4,ジェンティルドンナ,https://uma-channel.jp/umafile_1/2009/gentildonna.html,25,19,6,2009
5,ディープインパクト,https://uma-channel.jp/umafile_1/2002/deep_impact.html,21,14,7,2002
6,シンボリルドルフ,https://uma-channel.jp/umafile_1/1981-1985/symboli_rudolf.html,23,16,7,1981
7,ウオッカ,https://uma-channel.jp/umafile_1/2004/vodka.html,33,26,7,2004
8,オルフェーヴル,https://uma-channel.jp/umafile_1/2008/orfevre.html,27,21,6,2008
9,ブエナビスタ,https://uma-channel.jp/umafile_1/2006/buena_vista.html,29,23,6,2006
10,ゴールドシップ,https://uma-channel.jp/umafile_1/2009/gold_ship.html,34,28,6,2009
11,イクイノックス,https://uma-channel.jp/umafile_1/2019/equinox.html,5,4,1,2019
12,モーリス,https://uma-channel.jp/umafile_1/2011/maurice.html,5,4,1,2011
13,ロードカナロア,https://uma-channel.jp/umafile_1/2008/lord_kanaloa.html,5,4,1,2008
14,グランアレグリア,https://uma-channel.jp/umafile_1/2016/gran_alegria.html,5,4,1,2016
15,ダイワメジャー,https://uma-channel.jp/umafile_1/2001/daiwa_major.html,5,4,1,2001
16,アグネスデジタル,https://uma-channel.jp/umafile_1/1997/agnes_digital.html,5,4,1,1997
17,ナリタブライアン,https://uma-channel.jp/umafile_1/1991/narita_brian.html,5,4,1,1991
18,コントレイル,https://uma-channel.jp/umafile_1/2017/contrail.html,5,4,1,2017
19,ドウデュース,https://uma-channel.jp/umafile_1/2019/do_deuce.html,5,4,1,2019
20,タイキシャトル,https://uma-channel.jp/umafile_1/1994/taiki_shuttle.html,5,4,1,1994
21,メジロドーベル,https://uma-channel.jp/umafile_1/1994/mejiro_dober.html,5,4,1,1994
22,アパパネ,https://uma-channel.jp/umafile_1/2007/apapane.html,5,4,1,2007
23,オグリキャップ,https://uma-channel.jp/umafile_1/1981-1985/oguri_cap.html,5,4,1,1985
24,スペシャルウィーク,https://uma-channel.jp/umafile_1/1995/special_week.html,5,4,1,1995
25,メジロマックイーン,https://uma-channel.jp/umafile_1/1987/mejiro_mcqueen.html,5,4,1,1987
26,メイショウサムソン,https://uma-channel.jp/umafile_1/2003/meisho_samson.html,5,4,1,2003
27,リスグラシュー,https://uma-channel.jp/umafile_1/2014/lys_gracieux.html,5,4,1,2014
28,クロノジェネシス,https://uma-channel.jp/umafile_1/2016/chrono_genesis.html,5,4,1,2016
29,シンボリクリスエス,https://uma-channel.jp/umafile_1/1999/symboli_kris_s.html,5,4,1,1999
30,エイシンプレストン,https://uma-channel.jp/umafile_1/1997/eishin_preston.html,5,4,1,1997
31,ラヴズオンリーユー,https://uma-channel.jp/umafile_1/2016/loves_only_you.html,5,4,1,2016
32,マヤノトップガン,https://uma-channel.jp/umafile_1/1992/mayano_top_gun.html,5,4,1,1992
33,ダイワスカーレット,https://uma-channel.jp/umafile_1/2004/daiwa_scarlet.html,5,4,1,2004
34,グラスワンダー,https://uma-channel.jp/umafile_1/1995/grass_wonder.html,5,4,1,1995
35,トウカイテイオー,https://uma-channel.jp/umafile_1/1988/tokai_teio.html,5,4,1,1988
36,ラッキーライラック,https://uma-channel.jp/umafile_1/2015/lucky_lilac.html,5,4,1,2015
37,ミスターシービー,https://uma-channel.jp/umafile_1/1961-1980/mr_c_b.html,5,4,1,1980
38,リバティアイランド,https://uma-channel.jp/umafile_1/2020/liberty_island.html,5,4,1,2020
39,ゼンノロブロイ,https://uma-channel.jp/umafile_1/2000/zenno_rob_roy.html,5,4,1,2000
40,アドマイヤムーン,https://uma-channel.jp/umafile_1/2003/admire_moon.html,5,4,1,2003
41,カネヒキリ,https://uma-channel.jp/umafile_1/2002/kane_hekili.html,5,4,1,2002
42,ニッポーテイオー,https://uma-channel.jp/umafile_1/1981-1985/nippo_teio.html,5,4,1,1983
43,ニホンピロウイナー,https://uma-channel.jp/umafile_1/1961-1980/nihon_pillow_winner.html,5,4,1,1980
44,ビワハヤヒデ,https://uma-channel.jp/umafile_1/1990/biwa_hayahide.html,5,4,1,1990
45,ミホシンザン,https://uma-channel.jp/umafile_1/1981-1985/miho_shinzan.html,5,4,1,1982
46,ドリームジャーニー,https://uma-channel.jp/umafile_1/2004/dream_journey.html,5,4,1,2004
47,ジャスタウェイ,https://uma-channel.jp/umafile_1/2009/just_a_way.html,5,4,1,2009
48,エルコンドルパサー,https://uma-channel.jp/umafile_1/1995/el_condor_pasa.html,5,4,1,1995
49,タマモクロス,https://uma-channel.jp/umafile_1/1981-1985/tamamo_cross.html,5,4,1,1984
50,タイトルホルダー,https://uma-channel.jp/umafile_1/2018/titleholder.html,5,4,1,2018
